"KRAJ";"ŽADATEL";"KATEGORIE";"PROJEKT";"POPIS";"NÁKLADY";"DOTACE %";"DOTACE";"STRATEGICKÝ"
"Karlovarský";"Sokolovská uhelná, právní nástupce, a.s.";"VP (250+)";"Sokolovská investiční a green development";"Předmětem projektu je využití potenciálu území po skončení těžby uhlí jako klíčového zdroje pro nastartování transformace regionu a výstavba uhlíkově neutrálních průmyslových zón. Pro nové využití budou připraveny lokality Staré Sedlo, Přátelství, Silvest";3162,8;40%;500;"ANO"
"Karlovarský";"město Boží Dar";"Obce a jejich PO";"Regenerace brownfieldu Horský hotel Klínovec a jeho okolí";"Regenerace brownfieldu Horský hotel Klínovec, kulturní památky, nacházející se na nejvyšším vrcholu Krušných hor. Jeho počátek se datuje rokem 1900 a od roku 2003 je jeho vlastníkem město Boží Dar. Přínosem projektu je obnova chátrající kulturní památky a";420;85%;150;"ANO"
"Karlovarský";"Institut lázeňství a balneologie, v. v. i. (ILaB)";"Vysoké školy a výzkumné organizace";"Centrum lázeňského výzkumu (CLV)";"Přínosem projektu je obnova chátrající kulturní památky a jeho okolí. Projekt výrazně přispěje k trvale udržitelnému cestovnímu ruchu, který je významný v rozvoji Karlovarského kraje, a zvýší potenciál a ekonomickou stabilitu celé oblasti.

Strategický pr";325,5;85%;276,675;"ANO"
"Karlovarský";"Sokolovská uhelná, právní nástupce, a.s.";"VP (250+)";"Udržitelná revitalizace a resocializace lokality Medard";"Předmětem projektu je inženýrská a stavební příprava území v okolí jezera Medard pro další využití tohoto zemí pro aktivity, které přinesou udržitelnou revitalizaci a resocializaci území po ukončení těžby a návrat lidí.

Tato příprava území je základem p";583;78%;233,2;"ANO"
"Karlovarský";"Česká zemědělská univerita v Praze (ČZU)";"Vysoké školy a výzkumné organizace";"Chytrá krajina 2030+";"Projekt v rámci víceúrovňového řešení využití potenciálu území KVK zpracuje environmentální a urbánní postupy s respektováním limitů probíhajících klimatických změn a příležitostí daných jedinečnými charakteristikami území KVK.

Cílem je na základě analýz";313;85%;266,05;"ANO"
"Karlovarský";"Veolia Energie Mariánské Lázně, s.r.o";"MSP (0–249)";"Výroba zeleného vodíku Mariánských Lázních pro využití v dopravě a teplárenství";"?";213;50%;106,5;"NE"
"Karlovarský";"Dobrovolný svazek měst a obcí Kraslicka";"Obce a jejich PO";"Komplexní a systémové řešení
klíčových lokálních problémů mikroregionu Kraslicko";"?";78,2;85%;66,47;"NE"
"Karlovarský";"město Františkovy Lázně";"Obce a jejich PO";"Rozvoj infrastruktury a podpora lázeňství jako ekonomického odvětví v Karlovarském kraji";"?";310,1;80%;248,08;"NE"
"Karlovarský";"Statutární město Karlovy Vary";"Obce a jejich PO";"Svět záchranářů - centrum zdraví a bezpečí - II. Etapa";"?";286,9;80%;229,52;"NE"
"Karlovarský";"Krajská hospodářská komora Karlovarského kraje";"Veřejně prospěšná činnost (neziskovky)";"Byznys centrum Karlovarského kraje (BC KK)";"?";121;85%;102,85;"NE"
"Karlovarský";"ept connector s.r.o.";"VP (250+)";"Rozšíření výroby ept connector s.r.o. – výstavba nových technologických linek pro galvanické pokovování a ražení kontaktů";"?";250;40%;100;"NE"
"Karlovarský";"Karlovarská agentura rozvoje podnikání, p. o. (KARP)";"Kraj a jejich PO vč. agentur";"Research Point - rozvoj VaV aktivit pro úspěšnou transformaci regionu";"?";52,2;85%;44,37;"NE"
"Karlovarský";"Město Sokolov";"Obce a jejich PO";"Efektivní hospodaření s energií a využívání obnovitelných zdrojů energie ve městě Sokolov";"?";200;85%;170;"NE"
"Karlovarský";"Krajská hospodářská komora Karlovarského kraje";"Veřejně prospěšná činnost (neziskovky)";"Fond rizikového kapitálu Karlovarského kraje";"?";550;85%;467,5;"NE"
"Karlovarský";"Úřad práce České republiky";"Organizační složky státu ";"Podpora transformačního procesu v Karlovarském kraji";"?";108,9;85%;92,565;"NE"
"Karlovarský";"město Cheb";"Obce a jejich PO";"Rekonstrukce a přístavba Městské knihovny v Chebu";"?";300;85%;255;"NE"
"Karlovarský";"Sustainable Energy Solutions s.r.o. (SES)";"MSP (0–249)";"Battery Park Tisová";"?";459;30%;137,7;"NE"
"Karlovarský";"Sokolovská uhelná, právní nástupce, a.s.";"VP (250+)";"Energy Hub";"?";1500;60%;900;"NE"
"Karlovarský";"Město Sokolov";"Obce a jejich PO";"Hospodaření s odpady ve městě Sokolov";"?";41;85%;34,85;"NE"
"Karlovarský";"Město Sokolov";"Obce a jejich PO";"Revitalizace náměstí Budovatelů";"?";600;70%;420;"NE"
"Karlovarský";"DC ELEKTRONIKA, s.r.o.";"MSP (0–249)";"Pilotní projekt Karlovarský kraj";"?";3427;80%;2741,6;"NE"
"Karlovarský";"DC ELEKTRONIKA, s.r.o.";"MSP (0–249)";"Projekt spravedlivé územní transformace, řízená decentralizace, výstavba a provozování lokálních distribučních území";"?";2277;80%;1821,6;"NE"
"Karlovarský";"Sokolovská uhelná, právní nástupce, a.s.";"VP (250+)";"Energetické a materiálové využití odpadů v Karlovarském kraji";"?";1067;60%;640,2;"NE"
"Karlovarský";"Město Sokolov";"Obce a jejich PO";"Záchrana hornických tradic a kulturního dědictví - Stavební úpravy Hornického domu v Sokolově";"?";280;85%;238;"NE"
"Karlovarský";"Město Sokolov";"Obce a jejich PO";"Revitalizace území bývalého lomu Michal a zaniklé obce Vítkov";"?";200;85%;170;"NE"
"Karlovarský";"Svobodná chebská škola s.r.o., základní škola a gymnázium";"MSP (0–249)";"Česko-německá digitální a jazyková akademie";"?";850;85%;722,5;"NE"
"Karlovarský";"Město Sokolov";"Obce a jejich PO";"Revitalizace bývalé třídírny dolu Jiří a železničního depa";"?";220;85%;187;"NE"
"Karlovarský";"LIAS Vintířov";"MSP (0–249)";"Udržení výroby lehkého keramického kameniva ve výrobním závodu Lias Vintířov po ukončení těžby hnědého
uhlí na Sokolovsku";"?";209;40%;83,6;"NE"
"Karlovarský";"PETROLIA s.r.o.";"MSP (0–249)";"Zelený plyn pro kaolinku a vodík pro mobilitu";"?";279,2;70%;195,44;"NE"
"Karlovarský";"Farma Trojmezí a.s.";"MSP (0–249)";"Farma Trojmezí - Energopark";"?";478;70%;334,6;"NE"
"Karlovarský";"Výzkumný ústav pro podnikání a inovace, z.ú.";"Vysoké školy a výzkumné organizace";"Transfer technologií";"?";76,2;100%;76,2;"NE"
"Karlovarský";"Ekofarma Ušák s.r.o.";"MSP (0–249)";"Skleník Jiří";"?";930;60%;558;"NE"
"Karlovarský";"Sedlecký kaolin, a. s. Božičany";"VP (250+)";"Výroba granuláptu pro průmyslové využití a výroba písků";"?";256,6;80%;205,28;"NE"
"Karlovarský";"Ústav pro výzkum a edukaci aktivního zdraví, Z.Ú.";"Vysoké školy a výzkumné organizace";"Výzkum přírodních prostředků podpory zdraví, využití získaných poznatků v lázeňské léčbě, pro zlepšení zdraví obyvatel, pro zvyšování kvalifikace odborníků v lázeňství a k podpoře významu a role lázeňství v transformaci regionu";"?";60,9;85%;51,765;"NE"
"Karlovarský";"COBA ENVI s.r.o.";"MSP (0–249)";"Zefektivnění systému odpadového hospodářství v ORP Sokolov a Kraslice";"?";364;60%;218,4;"NE"
"Karlovarský";"G. Benedikt Karlovy Vary s.r.o.";"MSP (0–249)";"Strategický projekt G.Benedikt pro zajištění hospodářské diverzifikace, modernizace a přeměny - Lisovna 4.0
porcelánových výrobků";"?";351,3;60%;210,78;"NE"
"Karlovarský";"Synthomer a.s.";"VP (250+)";"Výstavba moderních technologií pro zpracování odpadních proudů z výroby monomerů a disperzí vedoucí ke snížení emisí a k celkové podpoře
subsystému ŽP";"?";316;40%;126,4;"NE"
"Karlovarský";"SANAKA Industry, a.s.";"MSP (0–249)";"SANDBOX (součást síťového projektu Battery Value Chain Sokolov)";"?";9628;"-";0;"NE"
"Karlovarský";"ČEZ a.s.";"VP (250+)";"Gigafactory";"?";59000;20%;11800;"NE"
"Karlovarský";"Sokolovská uhelná, právní nástupce, a.s.";"VP (250+)";"Battery Value Chain Sokolov";"?";74500;30%;22350;"NE"
"Ústecký";"Cínovecká deponie, a.s.";"MSP (0–249)";"SANDBOX";"Výstavba separační linky pro magnetickou separaci hlušiny. Projekt SANBOX umožňuje zapojení Ústeckého kraje do zcela nově se tvořícího produktového řetězce, který je klíčový pro celkovou transformaci kraje a české ekonomiky. Výroba baterií především pro a";910;85%;773,5;"NE"
"Ústecký";"Statutární město Ústí nad Labem";"Obce a jejich PO";"Digitální město";"Subjekty veřejné správy často spravují ICT dle vlastní působnosti i přesto, že vykonávají z velké části totožné agendy a vytváří totožné služby. V oblasti sdílených prostředků ICT může být docíleno výrazných úspor veřejných financí a synergických efektů v";374,83;85%;318,6055;"NE"
"Ústecký";"Dopravní podnik města Ústí nad Labem a.s.";"Obce a jejich PO";"Zavádění vodíkové mobility ve městě Ústí nad Labem";"Cílem projektu je vytvoření podmínek pro snížení negativních dopadů na životní prostředí v Ústí nad Labem a jeho nejbližším okolí, které vytváří provoz veřejné hromadné dopravy. Projekt se skládá z následujících hlavních částí:
1. Nákup dvaceti nových aut";723,755;85%;615,19175;"ANO"
"Ústecký";"Statutární město Ústí nad Labem";"Obce a jejich PO";"SMART infrastruktura ZOO pro 21. století (SMART ZOO)";"Komplexně pojatý transformační projekt, který klade důraz na na vybudování nové infrastruktury, která bude využívat obnovitelné zdroje energie OZE, přispívat k adaptaci na změnu klimatu a zároveň bude zaváděním digitálních technologií velmi přívětivá i pr";517,93;85%;440,2405;"NE"
"Ústecký";"Úřad práce České republiky";"Organizační složky státu ";"POZATR";"Projekt nabízí snadno dosažitelnou pomoc podnikům a osobám, které jsou dotčené transformačním procesem souvisejícím s přechodem na nízkouhlíkovou ekonomiku.  Zaměstnavatelé mají díky projektu unikátní možnost využít při přechodu na nové technologie rozsáh";870;85%;739,5;"ANO"
"Ústecký";"Výzkumný ústav pro hnědé uhlí a.s.";"MSP (0–249)";"Centrum pro digitalizaci a rozvoj území";"Vizí projektu je vytvoření nového hi-tech vědeckého centra, které by v budoucnu fungovalo jako odborný garant kraje v otázkách udržitelné digitální a enviromentální transformace, uplatňování politiky Green Dealu při maximální snaze udržení energetického a";188,27;85%;160,0295;"NE"
"Ústecký";"Krajské sdružení NS MAS ČR Ústeckého kraje, z.s.";"Veřejně prospěšná činnost (neziskovky)";"Animace pro spravedlivou transformaci Ústeckého kraje";"Projekt obsahuje soubor aktivit, jejichž cílem je napomoct transformaci Ústeckého kraje, hledání a nalezení nových příležitostí a to vlastní iniciativou a úsilím metodou bottom-up. Projekt si klade za cíl využít v kraji fungující síť MAS, která aktivizuje";54,675;85%;46,47375;"ANO"
"Ústecký";"Město Litoměřice";"Obce a jejich PO";"Svět GEOvěd";"Svět geověd je edukativně-společensko-kulturním centrem v areálu Zahrady Čech v Litoměřicích zaměřeným na oblast geovědních disciplín a souvisejících oborů. Jeho primárním účelem je poskytnout atraktivní prostředí pro vzdělávání žáků ZŠ, studentů SŠ, VŠ i";250;85%;212,5;"NE"
"Ústecký";"AŽD Praha s.r.o.";"VP (250+)";"Bateriové vlaky";"Železniční trať Litoměřice - Čížkovice - Most jeneelektrifikovanou tratí, přičemž k přepravě cestujících jsou využívány naftová vozidla. O elektrifikaci trati se neuvažuje. V rámci realizace projektu dojde k nákupu čtyř bateriových vlaků BEMU 120, které n";600;85%;510;"NE"
"Ústecký";"Město Varnsdorf";"Obce a jejich PO";"CEP/MANU HUB VARNSDORF";"Projekt generuje nová pracovní místa prostřednictvím podpory vzniku nových firem a vytvoření kvalitních a dostupných podmínek pro rozvoj podnikání firem s vysokým inovačním potenciálem. Nabízí komplexní služby, které umožní začínajícím, či nově vzniklým f";251,85;85%;214,0725;"NE"
"Ústecký";"DC ELEKTRONIKA, s.r.o.";"MSP (0–249)";"Pilotní projekt SPZ TRIANGLE";"Strategické energetické technologie pro naplnění vize transformace a modernizace energetického sektoru. Cílem projektu je nákup technologií - standů a vývoj nového digitálního systému monitoringu a provozu energetické infrastruktury splňující aktuální pož";4610;85%;3918,5;"NE"
"Ústecký";"DC ELEKTRONIKA, s.r.o.";"MSP (0–249)";"Projekt spravedlivé územní transformace, řízená decentralizace, výstavba a provozování lokálních distribučních území";"Strategie řízené decentralizace, výstavba a provozování lokálních energetických soustav (elektrické energie, tepelné energie, zemní plyn, kombinované zdroje, OZE, datové a jiné zdroje) bude v souladu s energetickými koncepcemi na území kraje a bude tyto k";3139;85%;2668,15;"NE"
"Ústecký";"Statutární město Ústí nad Labem";"Obce a jejich PO";"Cukrovar - Centrum umění a techniky";"Projekt si bere za cíl vytvořit výrazný symbol transformace směřování kraje v podobě proměny bývalého cukrovaru na nábřeží v Ústí nad Labem v místo, kde se setkávají inovace a kreativita, umení a technika. Jedná s eo místo, které může navštěvovat veřejnos";574;85%;487,9;"NE"
"Ústecký";"Univerzita Jana Evangelisty Purkyně v Ústí nad Labem";"Vysoké školy a výzkumné organizace";"RUR - Region univerzitě, univerzita regionu";"Strategický projekt bude reflektovat priority Evropské komise pro spravedlivou transformaci uhelných regionů a jeho strategickým cílem bude přispění k maximalizaci efektivity přechodu k dekarbonizaci kraje. Projekt cílí na nastavení komplexních změn v kra";1487,892031;85%;1250;"ANO"
"Ústecký";"FOR H2ENERGY s.r.o.";"MSP (0–249)";"H2 Triangle";"Záměrem projektu je výstavba vodíkového hospodářství uvnitř průmyslového areálu Triangle zahrnujícího jednotku pro generaci obnovitelné elektřiny, výrobu zeleného vodíku, jeho kompresi, skladování, distribuci či konverzi zpět na obnovitelnou elektřinu. V ";608,08;60%;364,848;"ANO"
"Ústecký";"Univerzita Jana Evangelisty Purkyně v Ústí nad Labem";"Vysoké školy a výzkumné organizace";"GET Centre UJEP - Green Energy Technologies Centre of UJEP";"Cílem předkládaného projektu je vybudovat na FSI UJEP komplexní energeticky zaměřené pracoviště, které bude sloužit pro výchovu a vzdělávání nových specialistů potřebných pro realizaci energetické transformace Ústeckomostecké aglomerace. Dalším cílem proj";960;85%;816;"ANO"
"Ústecký";"Univerzita Jana Evangelisty Purkyně v Ústí nad Labem";"Vysoké školy a výzkumné organizace";"MATECH – Materiály a pokročilé technologie pro recyklace, snížení emisí, zdraví a chemickou bezpečnost";"Projekt MATECH reflektuje priority EK pro transformaci uhelných regionů jako je posílení inovačního potenciálu a diverzifikace ekonomiky regionu zavedením nových chemických technologií využitelných v recyklacích plastů a biomasy včetně zpracování odpadníc";699,97898;85%;594,982133;"NE"
"Ústecký";"Statutární město Děčín";"Obce a jejich PO";"Rozvojová zóna Děčín – východní nádraží";"Cílem projektu je revitalizace brownfieldu Děčín-východní nádraží a vytvoření svébytné městské čtvrti kombinující průmyslové, podnikatelské, vědecko- technické, vzdělávací, kulturní i občanské využití. Projekt navazuje na plánovanou rekonstrukci kolejiště";907,7;85%;771,545;"NE"
"Ústecký";"Vítkovické železniční opravny a.s.";"MSP (0–249)";"Opravny železničních vagónů Most";"Cílem projektu je založení nového podniku naplňujícího znaky produktivní investice na území Ústeckého kraje. Podnik bude v souladu se strategickým zaměřením skupiny do které žadatel patří (CE Industires) zaměřen na oblast železniční nákladní dopravy konkr";200,5;40%;80,2;"NE"
"Ústecký";"Česká geologická služba";"Organizační složky státu ";"SYNERGYS - systémy pro energetickou synergii";"Projekt přispěje k řešení problémů a výzev spojených s transformací kraje v energetice, ke snížení energetické náročnosti a k nahrazení fosilních zdrojů. Rozvíjí podmínky pro vývoj a aplikaci nových čistých zdrojů energie a možností ukládání do horninovéh";1650,420038;85%;1250;"ANO"
"Ústecký";"Belvoir s.r.o.";"MSP (0–249)";"Rekultivace bývalého těžebního areálu Měděnec";"Rekultivace bývalého těžebního areálu Měděnec, který se nachází v Ústeckém kraji. Celý projekt bude rozdělen do několika fází. V prvé řadě půjde o vytěžení odkaliště bývalého težebního dolu o velikosti 10,5ha, ve kterém se nalézá milion tun kapacity hluši";402;40%;160,8;"NE"
"Ústecký";"Palivový kombinát Ústí, státní podnik";"Organizační složky státu ";"Příprava pro budoucí, nové využití rekultivovaných lokalit v Ústeckém kraji";"Hlavním cílem jsou přípravné kroky pro řadu dílčích projektů souvisejících se záměrem nového využívání území po ukončení těžební činnosti v Ústeckém kraji. Po více než jedno století oblast sloužila k dobývání energetické suroviny povrchovým způsobem, kdy ";140;50%;70;"NE"
"Ústecký";"Palivový kombinát Ústí, státní podnik";"Organizační složky státu ";"Umělá surfová vlna Most";"Cílem projektu je vybudovat v bezprostřední blízkosti jezera Most umělou vlnu na surfing. Vybudováním umělé vlny získá region ve střední a východní Evropě naprosto unikátní sportoviště, které ročně přiláká desítky tisíc návštěvníků a podpoří tak významně ";500;50%;250;"NE"
"Ústecký";"Ústecký kraj";"Kraj a jejich PO vč. agentur";"Transformační centrum Ústeckého kraje";"Transformační centrum ÚK se stane pilířem proměny regionu. Ekonomika Ústeckého kraje se ve 20. století opírala o velké podniky těžící uhlí a provozující uhelné elektrárny. Ve 21. století kraj změní své hospodářství, revitalizací projde také krajina a soci";950;85%;807,5;"ANO"
"Ústecký";"Palivový kombinát Ústí, státní podnik";"Organizační složky státu ";"Resocializace jižní části jezera Most";"Cílem projektu je vybudování kempu, restaurace a bufetu, technického zázemí správy jezera, zázemí pro Středisko volného času Most, školícího a vzdělávacího centra, multifunkčních hřišť, minigolfu, tenisových kurtů, lanového centra, pumptrackové dráhy a da";222;50%;111;"NE"
"Ústecký";"Palivový kombinát Ústí, státní podnik";"Organizační složky státu ";"Aquaponická farma Kohinoor";"Záměrem žadatele je vybudovat aquaponickou farmu v areálu podnikového střediska v blízkosti obce Mariánské Radčice v okrese Most. V areálu, ve kterém se nachází několik budov a relativně velké volné plochy, se v minulosti nacházel hnědouhelný důl Kohinoor";430;50%;215;"NE"
"Ústecký";"Statutární město Teplice";"Obce a jejich PO";"Teplice - inteligentní, čistá a udržitelná městská mobilita";"Projekt  ""Teplice – inteligentní a udržitelná veřejná městská mobilita"" řeší závěrečnou etapu přechodu místní veřejné dopravy ve městě Teplice ke 100% čisté (bezemisní) a dekarbonizované dopravě, snížení energetické náročnosti  provozování dopravy, zapoje";433,152;85%;368,1792;"NE"
"Ústecký";"REAL-AXIS s.r.o. (jako společnost typu SPV, Special Purpose Vehicle Company, čili projektová společnost)";"MSP (0–249)";"Přečerpávací vodní elektrárna Milada (PVE Milada)";"Cílem projektu je výstavba přečerpávací vodní elektrárny (PVE) v území brownfieldu v okolí jezera Milada. Smyslem je vybudovat akumulaci elektrické energie pro stabilizaci elektrické sítě, díky které bude možné v lokalitě provozovat více obnovitelných zdr";3828;40%;1531,2;"NE"
"Ústecký";"ČEZ, a.s.";"VP (250+)";"Gigafactory";"Předmětem projektu je výstavba továrny na výrobu lithiových baterií (gigafactory) s výrobní kapacitou 40GWh baterií ročně v lokalitě odstavené elektrárny v Prunéřově. Vyráběné lithium-iontové baterie budou primárně sloužit pro elektrické a hybridní vozydl";59437,67847163;20%;1250;"ANO"
"Ústecký";"MONDI Štětí a.s.";"VP (250+)";"Eco9";"V současné době se v ČR vytřídí přibližně 1 milion tun sběrového papíru, z čehož 20% je lokálně zpracován a zbytek je exportován do okolních zemí.  Mezi hlavní cíle projektu patří rozšíření výroby papíru založené na recyklovaných vláknech a podpora cirkul";11133,92;55%;6123,656;"NE"
"Ústecký";"ČEZ, a.s.";"VP (250+)";"Těžba lithia na Cínovci";"Předmětem projektu je těžba a zpracování lithia, cínu a wolframu v severočeském Cínovci na úpatí Krušných hor. V rámci projektu bude hlubině vytěžena hornina, která bude dále upravena na požadovanou frakci a dopravena na povrch k dalšímu zpracování v povr";11133,92;20%;1250;"ANO"
"Ústecký";"ČEZ, a.s.";"VP (250+)";"Výroba a využití vodíku v dopravě na Šluknovsku, Lounsku a Podbořansku";"ČEZ vybuduje ve spolupráci s Ústeckým krajem dvě výrobny zeleného vodíku v oblastech Šlunkovska a Lounska: Jde o jedinečný projekt pokrývající celý řetězec vodíkové ekonomiky od výroby po spotřebu. Zdrojem elektřiny budou místní fotovoltaické elektrárny (";782,4;64%;500,736;"NE"
"Ústecký";"Veřejný sál Hraničář, spolek";"Veřejně prospěšná činnost (neziskovky)";"Kreativni.uk - Kreativní hub v Ústeckém kraji";"Cílem projektu je ve společné koalici žadatele, místních a institucionálních partnerů během 5 let výrazně posílit rozvoj kulturních a kreativních odvětví (KKO), jejichž silný transformační potenciál povede k vytváření nových pracovních míst a diverzifikac";293,84;85%;249,764;"NE"
"Ústecký";"Vysoká škola chemicko- technologická Praha - Technopark Kralupy VŠCHT Praha, pracoviště Cementárna Čížkovice";"Vysoké školy a výzkumné organizace";"Výzkumné Centrum pokročilých mechanických a chemických procesů pro cirkulární ekonomiku - investiční část";"Cílem projektu je vybudování výzkumného centra pro výzkum a aplikace nových technologií s využitím mechanických a chemických procesů pro recyklaci druhotných surovin v rámci cirkulární ekonomiky a komplexního využití vybraných doprovodných především jílov";540,07;85%;459,0595;"NE"
"Ústecký";"ORLEN Unipetrol RPA s.r.o.";"VP (250+)";"Termická depolymerace směsných termoplastů a termosetů na směsi kapalných a plynných uhlovodíků pro další zpracování (akronym TERDEPOL)";"Samotný projekt je koncipován jako realizace komplexu technologií pro zpracování plastových odpadů prostřednictvím technologie termické depolymerace a následné úpravy získaných produktů na kvalitu vhodnou pro jejich petrochemické zpracování. Celý komplex ";5251;40%;2100,4;"NE"
"Ústecký";"ORLEN Unipetrol RPA s.r.o.";"VP (250+)";"Plazmové zplyňování komunálního odpadu (akronym PLAZKOMOD)";"Tento strategicky projekt předpokládá výstavbu inovační jednotky plazmového zplyňování odpadu kombinované s reaktorem Fisher-Tropshovy syntézy, a její integrace do existující infrastruktury rafinerie v Litvínově. Díky využiti nízkoemisní technologiiezprac";4445;85%;3778,25;"NE"
"Ústecký";"ORLEN Unipetrol RPA s.r.o.";"VP (250+)";"Průmyslová výroba obnovitelného vodíku za účelem dekarbonizace sektorů místní dopravy a chemické výroby paliv";"Cílem projektu je výstavba nového výrobního závodu obnovitelného vodíku určeného pro dekarbonizaci chemického průmyslu a dopravy v Ústeckém kraji. Uvažovaný výrobní závod se bude skládat z fotovoltaické elektrárny o špičkovém výkonu 60 MWp, navržené pro p";2196,079;80%;1756,8632;"NE"
"Ústecký";"Výzkumný ústav pro podnikání a inovace, z.ú.";"Vysoké školy a výzkumné organizace";"Transfer technologií";"Náplní projektu je cílený transfer technologií s cílem využití výsledků výzkumu a vývoje pro přechod ekonomiky k inovativním technologiím s vysokou přidanou hodnotou:
A. Posilování transferu výsledků vědy a výzkumu a transferu technologií od výzkumných in";76,13928;85%;64,718388;"NE"
"Ústecký";"LST a.s. (pro projekt bude založeno SPV v místě nové výroby)";"VP (250+)";"Výroba řeziva a CLT panelů";"Vybudování výroby CLT panelů a k ní potřebné pilařské kapacity zpracovávající kůrovcovou kulatinu pocházející především z Krušných hor a ze dřeva těženého samotnou skupinou LST na dalších lokalitách hlavně v západní polovině naší republiky, tj. Karlovarsk";1500;85%;1275;"NE"
"Ústecký";"Krajská hospodářská komora Ústeckého kraje";"Veřejně prospěšná činnost (neziskovky)";"STOP Exekucím";"Předlužení obyvatel a exekuce jsou plošných problémem na území celého kraje  a současně je patrné, že nejproblematičtější území z pohledu koncentrace osob s exekucemi jsou v oblasti podkrušnohorské pánve, kde se zároveň budou koncentrovat jevy související";84,1717;85%;71,545945;"NE"
"Ústecký";"Sev.en Innovations a.s";"MSP (0–249)";"Green Mine - celková revitalizace a resocializace lomu ČSA";"Ambicí integrovaného projektu je dát udržitelnou budoucnost lokalitě uhelného Lomu ČSA a přispět k řešení sociálních, hospodářských a environmentálních problémů kraje. Těžba na území o rozloze 45,4 km2 skončí již v roce 2024 a těžební společnost zajistí p";3000;40%;1200;"ANO"
"Ústecký";"Sev.en Innovations a.s";"MSP (0–249)";"Rozvoj cirkulárních řešení prostřednictvím užití vedlejších energetických produktů";"Předmětem projektu je vybudování závodu na zpracování vedlejších energetických produktů (VEP), které dnes zůstávají nevyužity, a přitom mají velký transformační potenciál pro vznik nových trhů a dodavatelsko-odběratelských řetězců ve stavebnictví, chemick";2000;40%;800;"NE"
"Ústecký";"Solek Holding SE";"MSP (0–249)";"Výroba zeleného vodíku elektrolýzou v UK";"V Ústeckém kraji se nachází velké množství ploch znehodnocených těžkým průmyslem, které by bylo možno využít k výstavbě solárních elektráren. Výstupní energie by byla využita k procesu Power-to-Gas, konkrétně tedy k výrobě vodíku pomocí elektrolýzy, jejíž";1216,6352;80%;973,30816;"NE"
"Ústecký";"Farma Tušimice s.r.o.";"MSP (0–249)";"Skleník MEGADEX";"Předmětem projektu je zavedení nové hospodářské činnosti - skleníkové pěstování zeleniny metodou hydroponie a počítačově řízené pěstování. Skleník bude umístěn na pozemcích bývalého stavebního dvora pro výstavbu elektrárny Prunéřov II - jedná se o využití";510;60%;306;"NE"
"Ústecký";"WNE-CZ s.r.o.";"MSP (0–249)";"FVE 60 MW AgriPV Šluknov";"Cílem projektu FVE 60 MV AgriPV Šluknov je dosáhnout soudržitelnosti zemědělské činnosti a ekologické výroby elektřiny pomocí fotovoltaické elektrárny v režimu AGRIPV, což je sofistikovaný způsob zachávvající dosavadní způsob využití na vybraných pozemcíc";1349,848;80%;1079,8784;"NE"
"Ústecký";"PETROLIA s.r.o.";"MSP (0–249)";"Energetické využití odpadů Všebořice";"Projekt má za cíl rozšíření stávající bioplynové stanice (BPS) pro přetvoření balených biologických odpadů, odpadů ze stravoven a jídelen (gastroodpady) a odpadů z ČOV - kalů a bio odpadů ""hnědých popelnic"" na zdroj energie. Díky procesu separace bioplynu";532,7;60%;319,62;"NE"
"Ústecký";"Výzkumný ústav pro podnikání a inovace, z.ú.";"Vysoké školy a výzkumné organizace";"Vzdělávání - společná cesta k rozvoji uhelných regionů";"Očekávaným problémem, který vzniká v důsledku hospodářské transformace uhelného regionu, jsou nedostatečné dovednosti stávajících pracovníků pro jejich další uplatnění v jednotlivých firmách. Tento aspekt může vést k prohlubování nezaměstnanosti v kraji. ";107,73911;85%;91,5782435;"NE"
"Ústecký";"Statutární město Chomutov";"Obce a jejich PO";"CENTRAL PARK Chomutov";"Cílem projektu je revitalizace centrálního území města za účelem vytvoření nové městské čtvrti s charakterem „low carbon district“. Území (cca 15 ha) zahrnuje plochu hlavního městského parku, objektu bývalých městských lázní a atletického stadionu, sporto";1364,75;40%;545,9;"NE"
"Ústecký";"PLASTOIL Europe, a.s.";"MSP (0–249)";"Využití energie z obnovitelných zdrojů pro chemickou recyklaci plastového odpadu";"Společnost PLASTOIL Europe a.s., která je členem skupiny Active Development investments je vývojářem technologie chemické recyklace plastových odpadů ""POL-OPTIMUS"" jejíž výsledným produktem je olej, který je díky svému složení opětovně uplatnitelný a v pe";1394,532752;85%;1185,3528392;"NE"
